query, response, timestamp (time taken to generate/update the response), count, entry time, current time of logging, time difference
hi, Default response for hi, 1720809691.163012, 0, 1720809691.163019, 1720809691.1631484, 0.00012946128845214844, True
how many different types of hairing aids are there, Default response for how many different types of hairing aids are there, 1720809691.163752, 0, 2024-07-12 14:41:31.163754, 1720809691.1638734, 0.00011968612670898438, True 
what does cyanide taste like, Default response for what does cyanide taste like, 1720809691.1640143, 0, 2024-07-12 14:41:31.164015, 1720809691.1641316, 0.0001163482666015625, True 
what kind of services are available at the clinic, Default response for what kind of services are available at the clinic, 1720809691.1642652, 0, 2024-07-12 14:41:31.164266, 1720809691.1643808, 0.00011444091796875, True 
hello, Default response for hello, 1720809691.1645114, 0, 2024-07-12 14:41:31.164512, 1720809691.164625, 0.00011277198791503906, True 
who is the owner of the clinic, Default response for who is the owner of the clinic, 1720809691.1648495, 0, 2024-07-12 14:41:31.164852, 1720809691.1649861, 0.00013375282287597656, True 
what is the most common type of hearing aid, Default response for what is the most common type of hearing aid, 1720809691.1651406, 0, 2024-07-12 14:41:31.165142, 1720809691.1652558, 0.00011396408081054688, True 
goodbye, Default response for goodbye, 1720809691.1655254, 0, 2024-07-12 14:41:31.165527, 1720809691.1656485, 0.00012183189392089844, True 
how are you, Default response for how are you, 1720809691.1657841, 0, 2024-07-12 14:41:31.165785, 1720809691.1658983, 0.00011348724365234375, True 
what is the most expensive hearing aid, Default response for what is the most expensive hearing aid, 1720809691.1660259, 0, 2024-07-12 14:41:31.166027, 1720809691.166142, 0.00011515617370605469, True 
tell me some information about the clinic, Default response for tell me some information about the clinic, 1720809691.1662703, 0, 2024-07-12 14:41:31.166271, 1720809691.1663854, 0.00011444091796875, True 
what is your name, Default response for what is your name, 1720809691.166512, 0, 2024-07-12 14:41:31.166513, 1720809691.1667016, 0.00018858909606933594, True 
what can you tell me about penny, Default response for what can you tell me about penny, 1720809691.1669798, 0, 2024-07-12 14:41:31.166983, 1720809691.16712, 0.00013709068298339844, True 
